tsne,tsne,sammon,sammon,isomap,isomap,lle,lle,y
0,1,0,1,0,1,0,1,0
18.601814,7.334302,1430.3414797562918,69.69109364633867,770.8521899495747,-2458.5525169348766,0.0010430642646215582,0.003603594473283927,5
61.793907,16.555569,946.7834931488035,-1641.9106732667274,5473.500573886666,1600.0633319309604,0.02180577739102159,-0.008433730533110964,0
6.7476077,-49.917866,-684.898213854487,-1605.6323848424213,-686.0248541354277,3881.995068788907,-0.011134737656536992,0.007447897887541085,4
-53.807335,10.662447,-161.48643410548766,1687.6598827320884,-1952.0311575793917,-3153.268499158511,-0.01678002702802828,-0.04568838091296238,1
-5.675975,-24.18789,-1139.2625570867413,-318.7302601517163,-2841.6294425280753,1782.6289488517498,-0.013333023874142019,0.007564538384820525,9
-33.647327,59.0851,-1500.6167812421509,931.4804763879822,249.57900177815026,-1463.7404408017312,0.002637749020049388,-0.00382310163696108,2
-8.776218,10.565313,417.78094484578855,525.2504914792697,-808.3168480195146,-592.1311436795323,0.015265648289032924,0.04318491264818948,1
12.076112,45.949738,-942.9279819668708,1869.0946028567607,1232.5139446639018,-1873.5355573233896,-0.00014900846483935343,0.00269496366841348,3
-12.902739,5.666081,-93.81521078470148,438.6381917616566,-805.659664532937,-230.1306771389133,0.014561376947698794,0.04123822473506183,1
-22.817957,-35.954384,-1406.9789011215735,588.8160305824938,-2999.807771346216,-9.991356331071874,-0.014710838697892819,0.0012949892669257032,4
16.803572,35.61276,1242.0513121875156,776.5537333585968,1420.2377835858647,-2638.01384211252,0.002813384302980343,0.0070121777761299065,3
3.7672663,-6.3349586,-706.0910578942047,1558.8642264033733,-1056.1835486231544,-922.7791829991969,0.0016740897911443492,0.0019825523137483943,5
27.431688,27.335865,2339.8643005795284,-85.57126695777855,2346.3463773884823,-1023.4173846806584,0.002534914766340239,0.003622772942680247,3
46.477596,-26.033688,748.6225281875602,-1003.9949060327949,2418.1287029632326,1945.7553074494563,0.02435313880690762,-0.008041736333206317,6
-11.743713,4.017705,-11.654712775530424,592.5698207762294,-987.7795303406294,-1407.5205868500643,0.014477404901245711,0.04005512734000023,1
-50.940907,-28.109043,-1767.161215681598,52.02893319594959,-3613.8977234046843,444.38096287526645,-0.018507496022718853,0.004674537237366509,7
-26.367075,44.23015,-1319.8035362949306,1120.0375183533151,-1557.037673660923,-916.7302068423592,-0.0021802737750395494,-0.0007284839532157533,2
-6.328432,38.643562,-309.4217217419484,1681.9005415558238,-766.4623478609409,-4294.307216937217,-0.00506325002258005,-0.007244854675260391,8
32.88595,-18.769924,514.6074560014764,-252.75226640378565,2286.90318013938,214.1167879519081,0.019195405484459627,-0.004872497755038097,6
-37.53666,-20.318398,-832.0920196591272,801.9110070885606,-3599.767511286504,-1068.0132993906325,-0.014246225324811334,-0.0006890575186482916,9
9.659328,-50.12638,719.9247182615367,2367.311075784989,-2292.2668497465324,5027.940045679543,-0.010339430564504292,0.007346266429952292,4
62.657417,16.928534,756.5115276277686,-1984.6430092611142,5654.592337139402,1556.1973268424151,0.02177747979227117,-0.00847051371240389,0
-30.041298,-20.589006,-720.5866624435497,562.9782465218793,-3446.0865246907415,-480.1264000696808,-0.015127361800230462,0.0013362407228107015,9
-53.974632,10.914299,-234.29181365386862,1615.808054278106,-1938.5208564915338,-3010.512643145142,-0.01704097280685795,-0.04637034379220999,1
-26.121536,17.077028,895.7496907935741,465.24825746866514,-669.034929817489,-955.7990799001299,-0.0016160152446634975,0.0030990976594647405,1
1.4125059,50.73935,2192.354278629795,899.506529409719,943.5853924346252,-4295.243417969662,-0.0009008552315789102,-0.0026299204331887926,2
-2.4325516,-22.530607,-543.7055264224509,-31.91304407133012,-2625.061206956862,2217.411163888493,-0.011665283315948462,0.008818802074532627,4
31.08283,40.70409,-1267.986344232143,2208.7112564525605,2351.505584164144,-2551.403921162977,0.0013117619613422777,0.003218635031474574,3
-51.96759,-17.519598,-2546.438514497755,494.51644037974773,-2301.5461238672474,-46.05567926073953,-0.008250929543065447,0.002602948566977973,2
-44.940094,-13.42546,-820.7481066953534,929.7829846538393,-2886.5149347580964,-1152.6448663942645,-0.01703954904059258,-0.013371228752419216,7
26.433235,21.319832,1535.7685166640067,409.14712873595835,-198.93579445292877,-367.4140866995503,0.0005689881565132026,0.0034411879886475146,3
-7.048325,41.412533,229.22025582053473,2200.30253052933,-292.3294003972474,-4669.809416028164,-0.005111802197864979,-0.008460842416662197,8
30.247725,-21.32868,503.84413330398576,-702.5958853059756,1345.4840254626056,951.6576356590776,0.021829799696967713,-0.005938015997672608,6
-38.3174,-19.461975,-1156.9674282574467,898.2722430841529,-3518.1520800522017,-1333.021376637363,-0.0166662869554791,0.0008327551790814848,9
52.068413,17.168354,1748.9388227049876,-490.9645278815185,4415.11607789795,-1981.061623275483,0.0197255816875828,-0.007524786794343872,0
5.9360976,-2.0641806,-742.3204129882728,1383.6211945230232,-287.1211556843211,-1715.1539282754818,0.0022559512053469994,0.0011584476623423502,5
38.613113,-15.138664,1555.4811668737605,-266.15861927781407,1400.9274540379586,154.3866488370726,0.021011554839682853,-0.00545222701352663,6
54.018658,18.196554,1563.953168976952,-1165.222710372507,4722.6241584533855,-1323.275084691154,0.01972930181472693,-0.007502234114603958,0
-31.460434,-43.450172,-1150.7843307873834,-581.3901881760781,-2818.423017160205,2152.562876266559,-0.011817753491618283,0.009419159221793639,7
40.70239,-23.432304,676.5092665079286,-850.2478316095535,2724.500890098041,1288.8816277286367,0.023915678954280907,-0.00739314854115207,6
-23.84088,8.713198,-69.25419031634654,845.5846348605488,-1639.0637088032972,-1430.9476374121634,0.007998958093981707,0.02328620855957769,1
-9.132371,29.44468,833.740421712407,1016.6051517542335,-489.7378276165168,-3460.352456909243,-0.0027845702776207993,-0.005291505313730366,8
-33.991226,-37.93975,-697.6180198913661,219.37654764038368,-2963.640688239357,916.8605317862648,-0.011370535453509793,0.010940756135356456,7
-26.051075,-14.020324,-619.6180286163398,615.8272035445293,-2549.1427171271857,-910.0158101307013,-0.012315638732353792,0.002892977946103574,9
19.08833,22.44405,122.98234139210622,-155.79669530059465,-854.2008222307171,533.061030563503,-0.005059006604817429,0.007578308784132747,3
-19.650204,-22.573483,-1190.914514096123,-409.3595504661163,-3168.5857762044498,1358.721621481771,-0.01462948682124529,0.00647746704810021,9
-2.028104,24.224087,-224.1573292325656,145.19593058550188,-1477.6969333287354,-1352.2269242892376,-0.004243316596626915,-0.0021017027375424754,8
